x,y
1,0.000052
2,0.00005213
3,0.00005227
4,0.00005213
5,0.00005213
6,0.000052
7,0.00005187
8,0.00005213
9,0.000052
10,0.00005227
11,0.00005213
12,0.00005213
13,0.00005227
14,0.00005173
15,0.00005187
16,0.0000516
17,0.00005173
18,0.0000512
19,0.00005173
20,0.00005173
21,0.00005187
22,0.00005187
23,0.00005187
24,0.00005173
25,0.0000516
26,0.00005187
27,0.000052
28,0.000052
29,0.00005227
30,0.00005213
31,0.0000524
32,0.00005293
33,0.00005267
34,0.0000524
35,0.00005227
36,0.00005227
37,0.00005213
38,0.00005173
39,0.000052
40,0.000052
41,0.00005187
42,0.0000524
43,0.0000524
44,0.0086948
45,0.00617867
46,0.00285093
47,0.00049533
48,0.00099573
49,0.00005227
50,0.0000524
51,0.00005213
52,0.00005213
53,0.000052
54,0.00005213
55,0.0111048
56,0.00005227
57,0.0000524
58,0.00005213
59,0.00005213
60,0.0000524
61,0.00005373
62,0.00680773
63,0.000052
64,0.00005213
65,0.00005213
66,0.00005227
67,0.00628267
68,0.00005213
69,0.0000524
70,0.00005213
71,0.00005213
72,0.00632733
73,0.000052
74,0.00005213
75,0.0000524
76,0.00005227
77,0.0000524
78,0.00005227
79,0.0073712
80,0.00005227
81,0.0000524
82,0.00005227
83,0.00005227
84,0.00008667
85,0.00447173
86,0.00005227
87,0.00005227
88,0.00005227
89,0.000052
90,0.00005187
91,0.000052
92,0.00005213
93,0.00005213
94,0.0000524
95,0.00005227
96,0.00005213
97,0.00005227
98,0.00005227
99,0.0054444
100,0.000052
101,0.00005213
102,0.00005227
103,0.00005227
104,0.00566093
105,0.000052
106,0.00005213
107,0.00005213
108,0.00005227
109,0.00446187
110,0.00005227
111,0.00005227
112,0.0000524
113,0.0000524
114,0.005704
