øâäúãÿþÔ¤YChargåVoltage_V,Charge_Percentage,Threshold_50pct
Voltage(V):3.03,Charge(%):60.51,MidPoint:50
Voltage(V):4.98,Charge(%):99.51,MidPoint:50
Voltage(V):5.00,Charge(%):99.90,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):2.32,Charge(%):46.33,MidPoint:50
Voltage(V):4.97,Charge(%):99.41,MidPoint:50
Voltage(V):4.99,Charge(%):99.71,MidPoint:50
Voltage(V):4.99,Charge(%):99.80,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
Voltage(V):5.00,Charge(%):100.00,MidPoint:50
