Time Interval (au),RC Time (micros),Capacitance (microf),,,Time Elapsed (micros),"Voltage (V) (Point 40, tau = 52 micros)","Voltage (V) (Point 55, tau = 11104.8 micros)",,,Time Elapsed (micros),"Stored Energy (microJ) (Point 40, tau = 52 micros)","Stored Energy (microJ)  (Point 55, tau = 11104.8 micros)"
1,52,0.000052,,,0,0,0,,,0,0,0
2,52.13,0.00005213,,,2000,5,0.824076154,,,2000,0.00065,0.003770643
3,52.27,0.00005227,,,4000,5,1.512332006,,,4000,0.00065,0.012699161
4,52.13,0.00005213,,,6000,5,2.087152812,,,6000,0.00065,0.024187403
5,52.13,0.00005213,,,8000,5,2.567234393,,,8000,0.00065,0.036594161
6,52,0.000052,,,10000,5,2.968191218,,,10000,0.00065,0.048917527
7,51.87,0.00005187,,,12000,5,3.303064251,,,12000,0.00065,0.06057798
8,52.13,0.00005213,,,14000,5,3.582745108,,,14000,0.00065,0.071270953
9,52,0.000052,,,16000,5,3.8163303,,,16000,0.00065,0.080867247
10,52.27,0.00005227,,,18000,5,4.011417095,,,18000,0.00065,0.089346262
11,52.13,0.00005213,,,20000,5,4.174350615,,,20000,0.00065,0.096751697
12,52.13,0.00005213,,,22000,5,4.310430209,,,22000,0.00065,0.103162529
13,52.27,0.00005227,,,24000,5,4.424081813,,,24000,0.00065,0.108674348
14,51.73,0.00005173,,,26000,5,4.519001902,,,26000,0.00065,0.11338766
15,51.87,0.00005187,,,28000,5,4.598277714,,,28000,0.00065,0.117400823
16,51.6,0.0000516,,,30000,5,4.664487666,,,30000,0.00065,0.120806039
17,51.73,0.00005173,,,32000,5,4.719785208,,,32000,0.00065,0.12368733
18,51.2,0.0000512,,,34000,5,4.765968874,,,34000,0.00065,0.126119764
19,51.73,0.00005173,,,36000,5,4.804540768,,,36000,0.00065,0.128169447
20,51.73,0.00005173,,,38000,5,4.836755426,,,38000,0.00065,0.129893973
21,51.87,0.00005187,,,40000,5,4.863660619,,,40000,0.00065,0.131343103
22,51.87,0.00005187,,,42000,5,4.886131425,,,42000,0.00065,0.132559554
23,51.87,0.00005187,,,44000,5,4.904898701,,,44000,0.00065,0.133579813
24,51.73,0.00005173,,,46000,5,4.920572843,,,46000,0.00065,0.134434915
25,51.6,0.0000516,,,48000,5,4.933663648,,,48000,0.00065,0.135151174
26,51.87,0.00005187,,,50000,5,4.944596889,,,50000,0.00065,0.135750841
27,52,0.000052,,,52000,5,4.953728166,,,52000,0.00065,0.136252691
28,52,0.000052,,,,,,,,,,
29,52.27,0.00005227,,,,,,,,,,
30,52.13,0.00005213,,,,,,,,,,
31,52.4,0.0000524,,,,,,,,,,
32,52.93,0.00005293,,,,,,,,,,
33,52.67,0.00005267,,,,,,,,,,
34,52.4,0.0000524,,,,,,,,,,
35,52.27,0.00005227,,,,,,,,,,
36,52.27,0.00005227,,,,,,,,,,
37,52.13,0.00005213,,,,,,,,,,
38,51.73,0.00005173,,,,,,,,,,
39,52,0.000052,,,,,,,,,,
40,52,0.000052,,,,,,,,,,
41,51.87,0.00005187,,,,,,,,,,
42,52.4,0.0000524,,,,,,,,,,
43,52.4,0.0000524,,,,,,,,,,
44,8694.8,0.0086948,,,,,,,,,,
