Time,Voltage
5,3.03
6,4.98
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,5
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,5
63,5
64,5
65,5
66,5
67,5
68,5
69,5
70,5
71,5
72,5
73,5
74,5
75,5
76,5
77,5
78,5
79,5
80,5
81,5
82,5
83,5
84,5
85,5
86,5
87,5
88,5
89,5
90,5
91,5
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
100,5
101,5
102,5
103,5
104,5
105,2.32
106,4.97
107,4.99
108,4.99
109,5
110,5
111,5
112,5
113,5
114,5
115,5
116,5
117,5
118,5
119,5
120,5
121,5
122,5
123,5
124,5
125,5
126,5
127,5
128,5
129,5
130,5
131,5
132,5
133,5
134,5
135,5
136,5
137,5
138,5
139,5
140,5
141,5
142,5
143,5
144,5
145,5
146,5
147,5
148,5
149,5
150,5
151,5
152,5
153,5
154,5
155,5
156,5
157,5
158,5
159,5
160,5
161,5
162,5
163,5
164,5
165,5
166,5
167,5
168,5
169,5
170,5
171,5
172,5
173,5
174,5
175,5
176,5
177,5
178,5
179,5
180,5
181,5
182,5
183,5
184,5
185,5
186,5
187,5
188,5
189,5
190,5
191,5
192,5
193,5
194,5
195,5
196,5
197,5
198,5
199,5
200,5
201,5
202,5
203,5
204,5
205,2.74
206,4.97
207,4.99
354,4.97
355,4.77
356,4.67
357,4.61
358,4.61
359,4.6
360,4.59
361,4.58
362,4.6
363,4.61
364,4.6
365,4.59
366,4.59
367,4.58
368,4.57
369,4.57
370,4.57
371,4.57
372,4.56
373,4.55
374,4.54
375,4.53
376,4.51
377,4.5
378,4.49
379,4.49
380,4.49
381,4.49
382,4.48
383,4.46
384,4.45
385,4.44
386,4.45
387,4.44
388,4.44
389,4.44
390,4.43
391,4.44
392,4.43
393,4.41
394,4.37
395,4.35
396,4.34
397,4.33
398,3.3
399,3.04
400,3
401,2.87
402,2.81
403,2.77
404,2.71
405,0.48
406,1.74
407,1.82
408,1.88
409,1.89
410,1.88
411,1.89
412,1.89
413,1.87
414,1.88
415,1.9
416,1.9
417,1.92
418,1.89
419,1.88
420,1.88
421,1.88
422,1.84
423,1.83
424,1.83
425,1.82
426,1.81
427,1.81
428,1.79
429,1.81
430,1.82
431,1.82
432,1.82
433,1.82
434,1.82
435,1.81
436,1.81
437,1.8
438,1.8
439,1.79
440,1.78
441,1.79
442,1.79
443,1.77
444,1.76
445,1.76
446,1.75
447,1.77
448,1.77
449,1.75
450,1.75
451,1.75
452,1.76
453,1.75
454,1.76
455,1.76
456,1.75
457,1.76
458,1.77
459,1.75
460,1.76
461,1.75
462,1.76
463,1.74
464,1.75
465,1.75
466,1.74
467,1.75
468,1.74
469,1.75
470,1.74
471,1.74
472,1.74
473,1.73
474,1.72
475,1.72
476,1.73
477,1.73
478,1.72
479,1.71
480,1.73
481,1.73
482,1.72
483,1.72
484,1.74
485,1.73
486,1.72
487,1.72
488,1.72
489,1.71
490,1.73
491,1.74
492,1.72
493,1.74
494,1.74
495,1.74
496,1.72
497,1.72
498,1.73
499,1.72
500,1.72
501,1.73
502,1.72
503,1.73
504,1.72
505,0.48
506,1.51
507,1.58
508,1.66
509,1.7
510,1.72
511,1.72
512,1.74
513,1.72
514,1.74
515,1.73
516,1.74
517,1.74
518,1.74
519,1.74
520,1.74
521,1.73
522,1.73
523,1.73
524,1.73
525,1.73
526,1.72
527,1.72
528,1.73
529,1.73
530,1.73
531,1.73
532,1.73
533,1.73
534,1.73
535,1.72
536,1.71
537,1.72
538,1.72
539,1.72
540,1.72
541,1.73
542,1.71
543,1.73
544,1.71
545,1.73
546,1.72
547,1.72
548,1.72
549,1.72
550,1.73
551,1.73
552,1.72
553,1.73
554,1.74
555,1.73
556,1.73
557,1.73
558,1.73
559,1.72
560,1.73
561,1.73
562,1.73
563,1.72
564,1.72
565,1.71
566,1.73
567,1.73
568,1.73
569,1.72
570,1.71
571,1.73
572,1.73
573,1.73
574,1.74
575,1.72
576,1.72
577,1.72
578,1.71
579,1.73
580,1.74
581,1.73
582,1.74
583,1.72
584,1.74
585,1.74
586,1.73
587,1.74
588,1.73
589,1.71
590,1.72
591,1.72
592,1.72
593,1.71
594,1.73
595,1.73
596,1.71
597,1.73
598,1.73
599,1.72
600,1.73
601,1.71
602,1.71
603,1.71
604,1.71
605,0.44
606,1.5
607,1.57
608,1.64
609,1.66
610,1.69
611,1.71
612,1.7
613,1.71
614,1.73
615,1.73
616,1.72
617,1.73
618,1.72
619,1.72
620,1.73
621,1.72
622,1.72
623,1.73
624,1.73
625,1.73
626,1.72
627,1.72
628,1.72
629,1.73
630,1.72
631,1.72
632,1.72
633,1.73
634,1.71
635,1.72
636,1.73
637,1.72
638,1.72
639,1.72
640,1.73
641,1.73
642,1.72
643,1.72
644,1.72
645,1.72
646,1.72
647,1.73
648,1.72
649,1.73
650,1.71
651,1.72
652,1.73
653,1.73
654,1.73
655,1.73
656,1.73
657,1.74
658,1.73
659,1.73
660,1.72
661,1.73
662,1.73
663,1.71
664,1.71
665,1.72
666,1.71
667,1.71
668,1.71
669,1.72
670,1.7
671,1.72
672,1.72
673,1.74
674,1.74
675,1.72
676,1.73
677,1.74
678,1.74
679,1.73
680,1.73
681,1.7
682,1.68
683,1.68
684,1.68
685,1.69
686,1.72
687,1.72
688,1.71
689,1.73
690,1.72
691,1.72
692,1.71
693,1.7
694,1.72
695,1.74
696,1.76
697,1.78
698,1.79
699,1.87
700,2.55
701,4.77
702,4.85
703,4.92
704,4.99
705,2.42
706,4.97
707,5
708,5
709,5
710,5
711,5
712,5
713,5
714,5
715,5
716,5
717,5
718,5
719,5
720,5
721,5
722,5
723,5
724,5
725,5
726,5
727,5
728,5
729,5
730,5
731,5
732,5
733,5
734,5
735,5
736,5
737,5
738,5
739,5
740,5
741,5
742,5
743,5
744,5
745,5
746,5
747,5
748,5
749,5
750,5
751,5
752,5
753,5
754,5
755,5
756,5
757,5
758,5
759,5
760,5
761,5
762,5
763,5
764,5
765,5
766,5
767,5
768,5
769,5
770,5
771,5
772,5
773,5
774,5
775,5
776,5
777,5
778,5
779,5
780,5
781,5
782,5
783,5
784,5
785,5
786,5
787,5
788,5
789,5
790,5
791,5
792,5
793,5
794,5
795,5
796,5
797,5
798,5
799,5
800,5
801,5
802,5
803,5
804,5
